close_date,order_number,driver_company,drop_status,otd,type_strike
2022-12-31,164755595_132351927138546,FSP AGILOG TRANSPORTES,COMPLETED,true,Cancelación
2022-12-23,265053966_85583010399478,INDEPENDIENTES,COMPLETED,true,Calidad
2022-12-27,24737415_33880875896456,No Value,COMPLETED,false,OTD
2022-12-22,176366922_5962760635870,No Value,COMPLETED,false,OTD
2022-12-27,211996032_108279108147224,No Value,COMPLETED,false,OTD
2022-12-29,155664988_47169591119723,No Value,COMPLETED,false,OTD
2022-12-23,50457940_97749788847294,No Value,COMPLETED,false,OTD
2022-12-28,37337253_19082451556317,No Value,COMPLETED,false,OTD
2022-12-22,191699787_14049948066093,No Value,COMPLETED,false,OTD
2022-12-27,240530370_118075304583071,No Value,COMPLETED,false,OTD
2022-12-21,52357527_44342044445197,No Value,COMPLETED,false,OTD
2022-12-23,236034094_98559826198029,No Value,CANCELLED,false,OTD
2022-12-27,48462694_33089673832687,No Value,COMPLETED,false,OTD
2022-12-27,178097562_430258406174282,No Value,COMPLETED,false,OTD
2022-12-30,112855376_57362480910794,No Value,COMPLETED,false,OTD
2022-12-23,119708723_124553225347363,No Value,COMPLETED,false,OTD
2022-12-22,45800524_17344562088553,INDEPENDIENTES,COMPLETED,true,Faltantes
2022-12-29,125377686_109803228760394,INDEPENDIENTES,COMPLETED,true,Faltantes
2022-12-30,184280505_42932013836620,FSP AGILOG TRANSPORTES,COMPLETED,true,Faltantes
2022-12-21,112224699_25882632948044,INDEPENDIENTES,COMPLETED,true,Faltantes
2022-12-21,264285994_34679754544801,INDEPENDIENTES,CANCELLED,true,Cancelación
2022-12-22,272371596_20603177354471,INDEPENDIENTES,CANCELLED,false,Cancelación
2022-12-23,258570943_85190768686171,NOLI,CANCELLED,true,Cancelación
2022-12-24,84946213_108889469261179,INDEPENDIENTES,CANCELLED,true,Cancelación
2022-12-24,261314485_133270362558533,NOLI,CANCELLED,true,Cancelación
2022-12-21,56149228_83132433262941,INDEPENDIENTES,CANCELLED,true,Cancelación
2022-12-24,256569333_34008362319237,INDEPENDIENTES,CANCELLED,true,Cancelación
2022-12-29,99743624_92287382831527,INDEPENDIENTES,CANCELLED,true,Cancelación
2022-12-23,192528690_58626880144074,INDEPENDIENTES,CANCELLED,true,Cancelación
2023-03-25,136203688_101960606450998,INDEPENDIENTES,CANCELLED,true,Cancelación
2023-01-17,105835899_14629398178166,INDEPENDIENTES,CANCELLED,false,Cancelación
2023-02-07,100613280_116092780154907,INDEPENDIENTES,CANCELLED,false,Cancelación
2022-12-24,30935737_49798937649616,INDEPENDIENTES,CANCELLED,true,Cancelación
2023-01-12,285491064_38802705731768,INDEPENDIENTES,CANCELLED,true,Cancelación
2023-03-03,291698535_58170185550724 — 291698535_57764685577069,GUILHERME TRANSPORTES,CANCELLED,false,Cancelación
2023-03-25,196093852_56005388176800,NOLI,CANCELLED,true,Cancelación
2023-02-11,112401216_157582880119496,INDEPENDIENTES,CANCELLED,true,Cancelación
2023-02-11,24072776_101649878070665,INDEPENDIENTES,CANCELLED,true,Cancelación
2023-03-30,327512731_117898246008092,TRANSOASIS,CANCELLED,true,Cancelación
2022-12-30,24254845_46298626040549,INDEPENDIENTES,CANCELLED,false,Cancelación
2022-12-23,19861154_40631809939093,RK TRANSPORTES,COMPLETED,true,Faltantes
2023-01-25,28720818_30392828571581,INDEPENDIENTES,CANCELLED,true,Cancelación
2023-01-20,246324846_129657083541454,INDEPENDIENTES,CANCELLED,true,Cancelación
2023-01-19,267187287_3808170428339,RK TRANSPORTES,CANCELLED,true,Cancelación
2023-01-13,160827291_46017805948121,INDEPENDIENTES,CANCELLED,true,Cancelación
2023-02-15,267389319_483000202831832,INDEPENDIENTES,CANCELLED,true,Cancelación
2023-02-18,35443878_28646512490083,INDEPENDIENTES,CANCELLED,true,Cancelación
2023-01-06,38206259_19964496059036,INDEPENDIENTES,CANCELLED,false,Cancelación
2023-01-21,62602276_38971451914793,INDEPENDIENTES,CANCELLED,true,Cancelación
2023-01-07,113409299_29401131580839,FSP AGILOG TRANSPORTES,CANCELLED,true,Cancelación
2023-02-18,193255950_53779350673165,INDEPENDIENTES,CANCELLED,false,Cancelación
2023-01-27,277732533_120524253139984,INDEPENDIENTES,CANCELLED,true,Cancelación
2023-03-18,22014288_37674274756729,TRANSOASIS,CANCELLED,true,Cancelación
2023-02-21,301502398_117499465487676,INDEPENDIENTES,CANCELLED,true,Cancelación
2023-03-09,26329526_51376959178816,INDEPENDIENTES,CANCELLED,false,Cancelación
2023-03-16,52471803_118751962589035,TRANSOASIS,CANCELLED,false,Cancelación
2023-02-08,52896411_32731714288214,INDEPENDIENTES,CANCELLED,true,Cancelación
2023-03-18,314392509_49713703726498,INDEPENDIENTES,CANCELLED,true,Cancelación
2023-03-08,57067521_24115696280341,RK TRANSPORTES,CANCELLED,true,Cancelación
2023-01-12,284255974_82747936328322,INDEPENDIENTES,CANCELLED,true,Cancelación
2023-02-07,131408003_37791525363516,Neowise Logística LTDA,CANCELLED,false,Cancelación
